Órgão;Fornecedor;CNPJ;Objeto;Valor (R$);Modalidade;Contrato;Data de Assinatura;Vigência(Dias);Licitação
SEGURANÇA URBANA;Bertin Ltda.;01.597.168/0010-80;aquisição de diversos calçados para uso dos integrantes da Guarda Civil Metropolitana;249.813,00;PREGÃO EXTRATO DE CONTRATO;;9/11/2006;30;09/2006/SGM-CSU;
SEGURANÇA URBANA;PKF ARMAS E MUNIÇÕES LTDA LTDA.;33.502.196/0001-71;Constitui objeto deste PREGÃO, a aquisição de algemas para uso da Guarda Civil Metropolitana, conforme descrito no Anexo I, que faz parte integrante deste Edital.;113.800,00;PREGÃO EXTRATO DE CONTRATO;;18/12/2006;60;020/SGM/CSU;
COMUNICAÇÃO;Luz Publicidade São Paulo Ltda.;50.750.298/0001-25;Contratação de empresa (Agência de Publicidade Legal) especializada em serviços de inserções de publicidade legal (avisos de Editais e/ou publicação de Atas e Balanços), para atender à Prefeitura do Município de São Paulo, pelo período de 12 (doze) meses, prorrogável por igual ou menor período até o limite legal, conforme previsto no artigo 57 inciso II da Lei Federal nº 8.666 e suas alterações.;2.000.000,00;CONCORRÊNCIA EXTRATO DE CONTRATO;;24/7/2006;360;001/SEC/2006;
COMUNICAÇÃO;ANÉSIO QUEIROZ JÚNIOR GUARULHOS ? ME;03.754.968/0001-00;Aquisição de Microcomputador/Ferramentas Gráficas para o uso do Gabinete da Secretaria Executiva de Comunicação.;23.100,00;PREGÃO EXTRATO DE CONTRATO;;8/8/2006;1095;005/SEC/2006;
COMUNICAÇÃO;Bakmar Eletrônica Ltda. - ME;46.103.594/0001-67;Contratação de empresa especializada para execução de serviços de operação e manutenção preventiva do sistema de áudio e vídeo do Auditório (Sala de Coletivas) localizado no 6º andar do Edifício Matarazzo, de acordo com as especificações contidas no Anexo I ? Termo de Referência.;54.600,00;PREGÃO EXTRATO DE CONTRATO;;29/8/2006;360;003/SECOM/2006;
DESENVOLVIMENTO,TRABALHO E EMPREENDEDORISMO;HELCY MULLER MOUTINHO;046.924.668-55;LOCAÇAO DE IMOVEL PARA INSTALAÇAO DO CAT-INTERLAGOS;180.000,00;DISPENSA EXTRATO DE ADITAMENTO;004/2005/SMTRAB;16/3/2006;360;2005-0.044.866-0;
DESENVOLVIMENTO,TRABALHO E EMPREENDEDORISMO;AHMAD MOHAMAD HAGE;181.732.828-03;LOCAÇÃO DE IMÓVEL PARA O CENTRO DE APOIO AO TRABALHO - UNIDADE ITAQUERA;144.000,00;DISPENSA EXTRATO DE ADITAMENTO;006/2005/SMTRAB;18/4/2006;360;2005-0.044.682-9;
SUBPREFEITURA: CAMPO LIMPO;A. TONANNI CONSTRUÇÕES E SERVIÇOS LTDA;50.583.954/0001-42;Contratação de prestação de serviços de conservação de pavimentos viários através de 01 (uma) equipe, por um período de 09 (nove) meses.;209.961,00;PREGÃO EXTRATO DE CONTRATO;;26/9/2006;270;017/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;A. TONANNI CONSTRUÇÕES E SERVIÇOS LTDA;50.583.954/0001-42;Contratação de prestação de serviços de conservação de pavimentos viários através de 01 (uma) equipe, por um período de 09 (nove) meses.;209.961,00;PREGÃO EXTRATO DE CONTRATO;;26/9/2006;270;017/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;TUMI CONSTRUÇÕES E EMPREENDIMENTOS LTDA;02.607.815/0001-69;Serviços de ampliação na Emef Ministro Synésio Rocha, objetivando a construção de salas de aulas.;134.198,74;CONVITE EXTRATO DE CONTRATO;;23/10/2006;60;009/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;APECOL ENGENHARIA E CONSTRUÇÕES LTDA;59.928.937/0001-74;Serviço de manutenção predial na Emef Francisco Rebolo.;146.158,14;CONVITE EXTRATO DE CONTRATO;;23/10/2006;60;010/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;ACESSO ENGª E COM DE MATS P/CONSTRUÇÃO CIVIL LTDA;01.497.728/0001-33;Serviços de manutenção predial na Emef Zulmira Cavalheiro Faustino.;136.331,23;CONVITE EXTRATO DE CONTRATO;;20/10/2006;60;011/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;PAIVA NOGUEIRA CONSTRUTORA LTDA;64.880.263/0001-15;Serviços de manutenção prdial da Emei Dolores Duran.;127.673,78;CONVITE EXTRATO DE CONTRATO;;19/10/2006;60;012/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;NOVORUMO ENGENHARIA E COMÉRCIO LTDA;05.754.314/0001-01;Serviços de Manutenção predial na Emei Aracy de Almeida.;120.353,63;CONVITE EXTRATO DE CONTRATO;;18/10/2006;60;013/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;CONSTRUTORA ROY LTDA;43.898.972/0001-58;Serviços de manutenção predial na Emef Cel Mario Rangel.;144.370,77;CONVITE EXTRATO DE CONTRATO;;17/10/2006;60;014/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;BMC ENGENHARIA E CONSTRUÇÃO LTDA;38.905.295/0001-18;Serviços de conservação e reforma da Emei Carlos de Laet.;147.449,83;CONVITE EXTRATO DE CONTRATO;;11/10/2006;60;015/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;EEC ENGENHARIA E CONSTRUÇÕES LTDA;02.811.333/0001-26;Serviços de manutenção predial na EMEF Leonardo Villas Boas.;146.445,58;CONVITE EXTRATO DE CONTRATO;;26/10/2006;60;016/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;INFRATERRA CONSTRUÇÕES E TERRAPLANAGEM LTDA;05.567.937/0001-67;Execução de obras de intervenção em área de risco 04 (muito alto) Jardim Itaóca - em área sob jurisdição desta Subprefeitura.;75.931,70;CONVITE EXTRATO DE CONTRATO;;7/12/2006;60;019/SP-CL/2006;
SUBPREFEITURA: CAMPO LIMPO;INFRATERRA CONSTRUÇÕES E TERRAPLANAGEM LTDA;05.567.937/0001-67;? CONTRATAÇÃO DE EMPRESA PARA EXECUÇÃO DE OBRAS DE CONTENÇÃO NA FAVELA DENOMINADA PEINHA - RUA ITAPAIUNA, EM ÁREA SOB JURISDIÇÃO DESTA SUBPREFEITURA.;144.064,53;CONVITE EXTRATO DE CONTRATO;;15/12/2006;60;020/SPCL/2006;
